source,algo,n_calls,total_time,min,max,mean
mg,write_duration_vector,139,4.78664e+10,0,8.03546e+08,3.44362e+08
mg,write_dur_subvec,139,1.33709e+10,0,3.45371e+08,9.61932e+07
mg,write_subvec,299,3.03501e+10,0,6.05433e+08,1.01505e+08
mg,zstd,438,1.38326e+10,0,2.64256e+08,3.15813e+07
mg,write,7272,3.63195e+06,0,58911,499.444
mg,write_vector,281,7.54782e+10,0,1.48187e+09,2.68606e+08
mg,write_duration_vector,139,4.57656e+10,0,1.06711e+09,3.29249e+08
mg,write_dur_subvec,139,1.30423e+10,0,5.08577e+08,9.38298e+07
mg,write_subvec,299,2.9338e+10,0,4.38079e+08,9.81204e+07
mg,zstd,438,1.38139e+10,0,2.46587e+08,3.15385e+07
mg,write,7272,3.95396e+06,0,95292,543.723
mg,write_vector,281,7.38548e+10,0,1.09815e+09,2.62829e+08
mg,write_duration_vector,139,4.368e+10,0,8.2582e+08,3.14244e+08
mg,write_dur_subvec,139,1.14761e+10,0,3.16962e+08,8.25617e+07
mg,write_subvec,299,2.95658e+10,0,5.49344e+08,9.88822e+07
mg,zstd,438,1.4056e+10,0,2.23519e+08,3.20913e+07
mg,write,7272,3.7623e+06,0,42131,517.367
mg,write_vector,281,7.30745e+10,0,1.07219e+09,2.60052e+08
mg,write_duration_vector,139,4.85576e+10,0,8.83185e+08,3.49335e+08
mg,write_dur_subvec,139,1.42027e+10,0,4.59293e+08,1.02178e+08
mg,write_subvec,299,3.0361e+10,0,6.73746e+08,1.01542e+08
mg,zstd,438,1.47705e+10,0,3.07641e+08,3.37226e+07
mg,write,7272,3.42594e+06,0,36520,471.114
mg,write_vector,281,7.43149e+10,0,1.51758e+09,2.64466e+08
mg,write_duration_vector,139,4.40273e+10,0,9.17657e+08,3.16743e+08
mg,write_dur_subvec,139,1.24382e+10,0,2.58021e+08,8.94833e+07
mg,write_subvec,299,2.88127e+10,0,4.28264e+08,9.63634e+07
mg,zstd,438,1.43238e+10,0,3.4581e+08,3.27028e+07
mg,write,7272,3.73797e+06,0,35361,514.022
mg,write_vector,281,7.09311e+10,0,1.02519e+09,2.52424e+08
mg,write_duration_vector,139,4.95121e+10,0,9.12866e+08,3.56202e+08
mg,write_dur_subvec,139,1.44078e+10,0,5.12939e+08,1.03653e+08
mg,write_subvec,299,2.85331e+10,0,4.0697e+08,9.54285e+07
mg,zstd,438,1.46218e+10,0,1.78595e+08,3.33831e+07
mg,write,7272,3.67317e+06,0,42901,505.111
mg,write_vector,281,7.1694e+10,0,1.00723e+09,2.55139e+08
mg,write_duration_vector,139,4.65159e+10,0,7.90847e+08,3.34646e+08
mg,write_dur_subvec,139,1.31688e+10,0,3.08512e+08,9.47397e+07
mg,write_subvec,299,2.92243e+10,0,3.31898e+08,9.77401e+07
sp,zstd,455,1.93892e+10,0,3.11746e+08,4.26137e+07
sp,write,11665,8.89503e+06,0,253486,762.54
sp,write_vector,158,8.82154e+10,0,5.32421e+09,5.58325e+08
sp,write_duration_vector,69,3.34966e+10,0,4.4503e+09,4.85458e+08
sp,write_dur_subvec,105,1.19896e+10,0,4.48458e+08,1.14187e+08
sp,write_subvec,350,3.93876e+10,0,6.82899e+08,1.12536e+08
sp,zstd,463,1.75565e+10,0,5.59256e+08,3.79189e+07
sp,write,11665,9.11092e+06,0,153744,781.047
sp,write_vector,152,8.23828e+10,0,4.64829e+09,5.41992e+08
sp,write_duration_vector,65,3.38659e+10,0,4.77811e+09,5.21014e+08
sp,write_dur_subvec,107,1.09379e+10,0,3.91768e+08,1.02224e+08
sp,write_subvec,356,3.75269e+10,0,7.02455e+08,1.05413e+08
sp,zstd,459,1.83943e+10,0,2.93031e+08,4.00748e+07
sp,write,11665,9.34243e+06,0,166474,800.894
sp,write_vector,148,8.80864e+10,0,5.55884e+09,5.95178e+08
sp,write_duration_vector,63,3.32725e+10,0,4.45709e+09,5.28136e+08
